frame,t,u,v,r,X,Y,Z,X_smooth,Y_smooth,speed_2d,speed_3d,hook_angle_deg
67491,1125.97485,1177.0,436.0,73.0,6.906600976325957,12.840347331585972,0.0,6.911455694294211,12.836138574514813,3.492230334336574,3.492230334336574,40.39614639557052
67492,1125.9915333333333,1177.0,437.0,72.0,6.9091226720305405,12.841538913990188,0.0,6.877049031590127,12.789121054521646,5.2177847801961486,5.2177847801961486,40.39614639557052
67493,1126.0082166666666,1190.0,431.0,69.0,6.815845099360037,12.736004146704275,0.0,6.895398983976892,12.874215056602049,0.8150970222020694,0.8150970222020694,40.39614639557052
67497,1126.07495,1164.0,413.0,61.0,6.920636578252312,12.903825008435813,0.0,6.906058196428829,12.927554570994936,0.846923435683888,0.846923435683888,40.39614639557052
67498,1126.0916333333334,1103.0,308.0,109.0,6.988822194864433,13.184329857750173,0.0,6.894778270497432,12.936063754879166,1.4737633932092735,1.4737633932092735,40.39614639557052
67501,1126.1416833333333,1182.0,416.0,61.0,6.823408804312448,12.777542527933592,0.0,6.857280888268777,12.872544009944916,1.5012855280345836,1.5012855280345836,40.39614639557052
67502,1126.1583666666668,1182.0,413.0,61.0,6.814815082242412,12.773341378741732,0.0,6.8790339497295605,12.884958872773216,1.1187652622783364,1.1187652622783364,40.39614639557052
67503,1126.17505,1182.0,420.0,61.0,6.834709589869981,12.783067059181581,0.0,6.892803216947602,12.872358096296553,4.192925781109037,4.192925781109037,40.39614639557052
67504,1126.1917333333333,1099.0,359.0,109.0,7.108567472415438,13.227034407543657,0.0,6.918425843934869,12.937448497086923,0.2712182914008356,0.2712182914008356,40.39614639557052
67510,1126.2918333333334,1175.0,400.0,53.0,6.821799420902932,12.809676812327902,0.0,6.898467023486167,12.91904439360353,1.6585553338779155,1.6585553338779155,40.39614639557052
67513,1126.3418833333333,1179.0,400.0,52.0,6.796187593527393,12.778601207520126,0.0,6.847324181957471,12.853659493548909,8.269659607469567,8.269659607469569,40.39614639557052
67514,1126.3585666666668,1179.0,401.0,52.0,6.7991370337989965,12.780014172977932,0.0,6.770391635843338,12.739135001982989,1.6737805953800315,1.6737805953800315,40.39614639557052
67515,1126.37525,1180.0,401.0,53.0,6.79261427764515,12.772090024999638,0.0,6.784170425583012,12.763423025997302,0.9581793339000736,0.9581793339000736,40.39614639557052
67516,1126.3919333333333,1183.0,400.0,50.0,6.769625066119207,12.746372089607949,0.0,6.773539949873084,12.75148429910239,1.0097318407998173,1.0097318407998173,40.39614639557052
67517,1126.4086166666666,1185.0,399.0,47.0,6.75284231357692,12.72824472752095,0.0,6.7643382443154945,12.737373807142601,3.505679967804675,3.505679967804675,40.39614639557052
67518,1126.4253,1187.0,402.0,46.0,6.748392242644638,12.716124192518594,0.0,6.727586239676744,12.69187707811212,1.2600050810137635,1.2600050810137635,40.39614639557052
67519,1126.4419833333334,1191.0,406.0,51.0,6.7329943525542,12.688327771339322,0.0,6.715608567475036,12.674602201167284,0.15141436349992268,0.15141436349992268,40.39614639557052
67524,1126.5254,1199.0,400.0,52.0,6.652724369998185,12.604532939236327,0.0,6.724412176502603,12.68365899589411,0.4173201809192022,0.4173201809192022,40.39614639557052
67527,1126.57545,1184.0,405.0,68.0,6.778137207574809,12.745710368485586,0.0,6.737927501045278,12.69958374242492,16.863607006491538,16.863607006491538,40.39614639557052
67528,1126.5921333333333,1183.0,404.0,66.0,6.781784328988767,12.75235603709793,0.0,6.902493270712572,12.927774376036464,20.626533963227047,20.626533963227047,40.39614639557052
67529,1126.6088166666666,1188.0,406.0,66.0,6.754024665976615,12.714035866817712,0.0,6.707841342210807,12.643998499671678,61.491273973119704,61.491273973119704,40.39614639557052
67530,1126.6255,1187.0,406.0,67.0,6.7609038476489465,12.722445187957781,0.0,6.1148393340811324,11.806874133543467,2.593448433814541,2.5934484338145416,40.39614639557052
67542,1126.8257,1325.0,471.0,24.0,5.243999403549538,10.572993306821795,0.0,5.816308124357134,11.382072468061542,4.4176277222663956,4.4176277222663956,40.39614639557052
67543,1126.8423833333334,1326.0,471.0,24.0,5.2152973143062376,10.53506753620143,0.0,5.768788594153542,11.32573690505229,26.350393903647237,26.35039390364724,40.39614639557052
67544,1126.8590666666666,1201.0,409.0,61.0,6.668907924865654,12.60289226802796,0.0,6.02011565492164,11.686422051847023,55.51226774625575,55.51226774625575,40.39614639557052
